source,target,weight
M0076,M0073,0.640439662538976
M0077,M0071,0.9468464230969794
M0077,M0086,0.933841433726635
M0077,M0116,0.9012950444271834
M0077,M0085,0.8856865804188332
M0077,M0130,0.8762407774803594
M0077,M0129,0.8588444348011479
M0077,M0128,0.8217190530465169
M0077,M0098,0.7838438713568934
M0078,M0071,0.8825481563790009
M0078,M0077,0.7499747335245753
M0078,M0116,0.6905381692402188
M0078,M0085,0.5554910330725981
M0078,M0082,0.5463938461631034
M0078,M0127,0.5443614782473105
M0078,M0086,0.5376752121683412
M0078,M0088,0.5362639511541075
M0079,M0119,0.9845963951489042
M0079,M0111,0.9828031997523091
M0079,M0115,0.9483959029817489
M0079,M0123,0.9448905568513795
M0079,M0121,0.9362843994907071
M0079,M0075,0.9355903338106065
M0079,M0083,0.9345011972959828
M0079,M0093,0.8928951582348897
M0080,M0096,0.9965334335244048
M0080,M0092,0.9912600028690283
M0080,M0100,0.9879802385101817
M0080,M0114,0.9571966021274706
M0080,M0084,0.9315115209785243
M0080,M0095,0.909559213290764
M0080,M0124,0.9070397971084042
M0080,M0081,0.9029027867808119
M0081,M0121,0.9659808439244025
M0081,M0100,0.9568943040936732
M0081,M0115,0.955113515110127
M0081,M0124,0.9330852103320678
M0081,M0092,0.9125946604828178
M0081,M0119,0.9037523511881909
M0081,M0080,0.9029027867808119
M0081,M0096,0.9004425723200393
M0082,M0127,0.9859752588434741
M0082,M0102,0.9420729635216435
M0082,M0129,0.8715144802568773
M0082,M0085,0.8514614191781518
M0082,M0077,0.6721124355565742
M0082,M0118,0.5715789069519663
M0082,M0071,0.5671050299818128
M0082,M0130,0.553853789703409
M0083,M0123,0.9766318423106508
M0083,M0119,0.9628177616913228
M0083,M0079,0.9345011972959828
M0083,M0115,0.9314336430229789
M0083,M0121,0.9295980616259721
M0083,M0112,0.9044119633180958
M0083,M0093,0.8876019531344755
M0083,M0111,0.8729586049412256
M0084,M0114,0.9963199586142222
M0084,M0072,0.9710875379134777
M0084,M0080,0.9315115209785243
M0084,M0096,0.9055637810918608
M0084,M0100,0.8847111570285888
M0084,M0092,0.8810763025917783
M0084,M0124,0.8701675228725251
M0084,M0095,0.7957868901557935
M0085,M0129,0.9980411439258633
M0085,M0102,0.9224684680462574
M0085,M0127,0.9211183337204175
M0085,M0077,0.8856865804188332
M0085,M0130,0.8731244254700173
M0085,M0118,0.8634334771980903
M0085,M0082,0.8514614191781518
M0085,M0086,0.8508455580998382
M0086,M0130,0.9797009861806137
M0086,M0098,0.9403259638847351
M0086,M0128,0.9345775201121093
M0086,M0073,0.9345205015286427
M0086,M0077,0.933841433726635
M0086,M0122,0.8848504566103764
M0086,M0116,0.8819793938052191
M0086,M0117,0.8819633791737127
M0087,M0109,0.9091287471468009
M0087,M0105,0.9076098066292734
M0087,M0088,0.8419292655594484
M0087,M0108,0.5592101410310372
M0087,M0076,0.41761438531138184
M0087,M0126,0.39114668988979295
M0087,M0113,0.34516055089057956
M0087,M0078,0.2886224872856015
M0088,M0105,0.971430704709884
M0088,M0087,0.8419292655594484
M0088,M0076,0.7182600640945755
M0088,M0126,0.6336054249322187
M0088,M0116,0.6046005878261159
M0088,M0109,0.602865989046637
M0088,M0071,0.5623086247840492
M0088,M0108,0.554806592114346
M0089,M0095,0.9930381136733714
M0089,M0107,0.9771610942037139
M0089,M0096,0.9066042175141773
M0089,M0092,0.9040677283761597
M0089,M0080,0.8817958653607638
M0089,M0122,0.8744822708089249
M0089,M0090,0.8741210514306716
M0089,M0091,0.8681395159104549
M0090,M0122,0.996965178170602
M0090,M0098,0.9674162274714321
M0090,M0073,0.9624668761770171
M0090,M0092,0.9421600516033795
M0090,M0095,0.922657635036519
M0090,M0096,0.9226468864282131
M0090,M0100,0.9116005147763079
M0090,M0130,0.9081873713781994
M0091,M0104,0.9977819034106555
M0091,M0107,0.9479948060210778
M0091,M0072,0.8787129383149416
M0091,M0089,0.8681395159104549
M0091,M0095,0.8154603328614453
M0091,M0084,0.7842611382886131
M0091,M0106,0.7754800740563601
M0091,M0114,0.766119708408767
M0092,M0096,0.9982628317778299
M0092,M0080,0.9912600028690283
M0092,M0100,0.9870280461495367
M0092,M0090,0.9421600516033795
M0092,M0095,0.937460982045221
M0092,M0122,0.9191427618123057
M0092,M0114,0.9135991913727123
M0092,M0081,0.9125946604828178
M0093,M0123,0.963946854584967
M0093,M0125,0.9462098414326142
M0093,M0079,0.8928951582348897
M0093,M0083,0.8876019531344755
M0093,M0075,0.8518080175656332
M0093,M0119,0.8485809788806883
M0093,M0111,0.8109621181361415
M0093,M0115,0.7591661182266747
M0094,M0082,0.5452780812010494
